topic,sentiment,date,month,count
User Interface and Functionality,positive,2022-01-13 12:15:43,2022-01-01,1
Account Management,negative,2022-01-09 18:18:27,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-09 18:18:27,2022-01-01,1
Social Networking and Engagement,negative,2022-01-25 03:43:23,2022-01-01,1
User Interface and Functionality,negative,2022-01-25 03:43:23,2022-01-01,1
Social Networking and Engagement,positive,2022-01-25 03:43:23,2022-01-01,1
User Interface and Functionality,negative,2022-01-10 01:28:59,2022-01-01,1
User Interface and Functionality,negative,2022-01-10 01:28:59,2022-01-01,1
Notifications and Alerts,negative,2022-01-25 15:40:19,2022-01-01,1
User Interface and Functionality,negative,2022-01-14 08:21:23,2022-01-01,1
Notifications and Alerts,negative,2022-01-14 08:21:23,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-22 14:05:24,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-22 14:05:24,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-02 20:34:21,2022-01-01,1
User Interface and Functionality,negative,2022-01-20 23:19:53,2022-01-01,1
Community and Content,negative,2022-01-20 23:19:53,2022-01-01,1
User Interface and Functionality,negative,2022-01-20 23:19:53,2022-01-01,1
Social Networking and Engagement,positive,2022-01-11 04:30:55,2022-01-01,1
User Interface and Functionality,positive,2022-01-11 04:30:55,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-10 21:00:49,2022-01-01,1
Account Management,negative,2022-01-10 21:00:49,2022-01-01,1
Leadership and Decision Making,negative,2022-01-10 21:00:49,2022-01-01,1
User Interface and Functionality,negative,2022-01-13 20:02:31,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-13 20:02:31,2022-01-01,1
Freedom of Speech and Expression,positive,2022-01-07 02:41:56,2022-01-01,1
User Interface and Functionality,negative,2022-01-08 21:52:55,2022-01-01,1
User Interface and Functionality,negative,2022-01-08 21:52:55,2022-01-01,1
User Interface and Functionality,negative,2022-01-14 19:15:45,2022-01-01,1
User Interface and Functionality,neutral,2022-01-14 19:15:45,2022-01-01,1
Advertising and Monetization,negative,2022-01-10 12:12:35,2022-01-01,1
Account Management,negative,2022-01-10 12:12:35,2022-01-01,1
Algorithm and Content Curation,negative,2022-01-21 02:40:21,2022-01-01,1
User Interface and Functionality,neutral,2022-01-21 02:40:21,2022-01-01,1
News and Information Sharing,positive,2022-01-21 17:32:02,2022-01-01,1
Social Networking and Engagement,positive,2022-01-21 17:32:02,2022-01-01,1
User Interface and Functionality,positive,2022-01-21 17:32:02,2022-01-01,1
Account Management,negative,2022-01-03 16:33:19,2022-01-01,1
User Interface and Functionality,neutral,2022-01-03 16:33:19,2022-01-01,1
Account Management,negative,2022-01-28 13:35:26,2022-01-01,1
User Interface and Functionality,positive,2022-01-29 19:11:53,2022-01-01,1
User Interface and Functionality,positive,2022-01-29 19:11:53,2022-01-01,1
Algorithm and Content Curation,positive,2022-01-29 19:11:53,2022-01-01,1
Account Management,negative,2022-01-09 16:57:07,2022-01-01,1
Account Management,negative,2022-01-09 16:57:07,2022-01-01,1
User Interface and Functionality,positive,2022-01-10 01:23:30,2022-01-01,1
User Interface and Functionality,positive,2022-01-10 01:23:30,2022-01-01,1
Community and Content,positive,2022-01-10 23:16:14,2022-01-01,1
Content Moderation and Censorship,positive,2022-01-10 23:16:14,2022-01-01,1
Algorithm and Content Curation,negative,2022-01-26 21:35:24,2022-01-01,1
Account Management,negative,2022-01-15 06:00:51,2022-01-01,1
User Interface and Functionality,negative,2022-01-15 06:00:51,2022-01-01,1
User Interface and Functionality,negative,2022-01-25 09:12:16,2022-01-01,1
User Interface and Functionality,negative,2022-01-25 09:12:16,2022-01-01,1
User Interface and Functionality,negative,2022-01-10 21:27:53,2022-01-01,1
User Interface and Functionality,negative,2022-01-25 16:01:02,2022-01-01,1
User Interface and Functionality,negative,2022-01-25 16:01:02,2022-01-01,1
User Interface and Functionality,positive,2022-01-01 20:23:08,2022-01-01,1
User Interface and Functionality,negative,2022-01-01 20:23:08,2022-01-01,1
User Interface and Functionality,negative,2022-01-06 11:38:41,2022-01-01,1
User Interface and Functionality,negative,2022-01-06 11:38:41,2022-01-01,1
Mental Health and User Impact,negative,2022-01-27 13:56:24,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-27 13:56:24,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-27 13:56:24,2022-01-01,1
App Updates and Changes,positive,2022-01-20 13:22:06,2022-01-01,1
User Interface and Functionality,positive,2022-01-20 13:22:06,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-04 14:42:06,2022-01-01,1
User Interface and Functionality,positive,2022-01-09 17:14:46,2022-01-01,1
Social Networking and Engagement,positive,2022-01-09 17:14:46,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-13 15:12:20,2022-01-01,1
Account Management,negative,2022-01-13 15:12:20,2022-01-01,1
User Interface and Functionality,negative,2022-01-26 01:23:39,2022-01-01,1
Account Management,negative,2022-01-28 00:47:16,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-13 04:35:16,2022-01-01,1
Privacy and Security,negative,2022-01-18 12:32:14,2022-01-01,1
User Interface and Functionality,negative,2022-01-18 12:32:14,2022-01-01,1
Mental Health and User Impact,negative,2022-01-18 12:32:14,2022-01-01,1
Content Moderation and Censorship,positive,2022-01-11 17:16:11,2022-01-01,1
User Interface and Functionality,positive,2022-01-25 17:13:17,2022-01-01,1
News and Information Sharing,positive,2022-01-28 22:55:44,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-09 22:11:36,2022-01-01,1
Algorithm and Content Curation,positive,2022-01-22 08:10:32,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-22 08:10:32,2022-01-01,1
User Interface and Functionality,negative,2022-01-27 00:55:38,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-05 19:54:29,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-05 19:54:29,2022-01-01,1
Account Management,negative,2022-01-01 21:57:35,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-01 21:57:35,2022-01-01,1
Content Moderation and Censorship,negative,2022-01-01 21:57:35,2022-01-01,1
User Interface and Functionality,negative,2022-02-09 19:39:24,2022-02-01,1
Customer Service,negative,2022-02-09 19:39:24,2022-02-01,1
News and Information Sharing,negative,2022-02-09 19:39:24,2022-02-01,1
User Interface and Functionality,negative,2022-02-01 02:33:12,2022-02-01,1
News and Information Sharing,positive,2022-02-10 00:20:53,2022-02-01,1
Account Management,negative,2022-02-10 00:20:53,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-11 22:24:28,2022-02-01,1
User Interface and Functionality,negative,2022-02-11 22:24:28,2022-02-01,1
Community and Content,negative,2022-02-11 22:24:28,2022-02-01,1
User Interface and Functionality,negative,2022-02-26 03:48:47,2022-02-01,1
Account Management,negative,2022-02-26 03:48:47,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-26 03:48:47,2022-02-01,1
User Interface and Functionality,negative,2022-02-01 17:33:18,2022-02-01,1
User Interface and Functionality,negative,2022-02-01 17:33:18,2022-02-01,1
Notifications and Alerts,negative,2022-02-03 03:20:37,2022-02-01,1
User Interface and Functionality,positive,2022-02-22 14:43:19,2022-02-01,1
User Interface and Functionality,positive,2022-02-22 14:43:19,2022-02-01,1
Social Networking and Engagement,positive,2022-02-22 14:43:19,2022-02-01,1
Advertising and Monetization,negative,2022-02-14 21:15:20,2022-02-01,1
User Interface and Functionality,negative,2022-02-14 21:15:20,2022-02-01,1
Algorithm and Content Curation,negative,2022-02-14 05:53:58,2022-02-01,1
User Interface and Functionality,negative,2022-02-14 05:53:58,2022-02-01,1
News and Information Sharing,negative,2022-02-14 05:53:58,2022-02-01,1
Content Moderation and Censorship,positive,2022-02-19 00:45:32,2022-02-01,1
User Interface and Functionality,positive,2022-02-19 00:45:32,2022-02-01,1
Platform Policies and Guidelines,positive,2022-02-19 00:45:32,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-01 18:58:50,2022-02-01,1
Account Management,negative,2022-02-01 18:58:50,2022-02-01,1
Advertising and Monetization,negative,2022-02-01 18:58:50,2022-02-01,1
User Interface and Functionality,negative,2022-02-17 02:56:50,2022-02-01,1
Customer Service,negative,2022-02-17 02:56:50,2022-02-01,1
User Interface and Functionality,negative,2022-02-17 02:56:50,2022-02-01,1
Account Management,negative,2022-02-05 09:56:45,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-05 09:56:45,2022-02-01,1
Customer Service,negative,2022-02-05 09:56:45,2022-02-01,1
Algorithm and Content Curation,positive,2022-02-18 03:39:43,2022-02-01,1
Social Networking and Engagement,positive,2022-02-18 03:39:43,2022-02-01,1
News and Information Sharing,positive,2022-02-18 03:39:43,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-14 22:07:23,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-14 22:07:23,2022-02-01,1
Social Networking and Engagement,positive,2022-02-03 21:05:31,2022-02-01,1
Community and Content,positive,2022-02-03 22:22:10,2022-02-01,1
User Interface and Functionality,positive,2022-02-03 22:22:10,2022-02-01,1
News and Information Sharing,positive,2022-02-06 21:55:43,2022-02-01,1
Freedom of Speech and Expression,positive,2022-02-06 21:55:43,2022-02-01,1
Platform Policies and Guidelines,negative,2022-02-28 20:05:54,2022-02-01,1
User Interface and Functionality,negative,2022-02-07 05:02:44,2022-02-01,1
User Interface and Functionality,negative,2022-02-07 05:02:44,2022-02-01,1
User Interface and Functionality,positive,2022-02-07 05:02:44,2022-02-01,1
Algorithm and Content Curation,negative,2022-02-07 00:21:10,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-09 04:47:12,2022-02-01,1
User Interface and Functionality,negative,2022-02-09 04:47:12,2022-02-01,1
Account Management,negative,2022-02-24 18:03:03,2022-02-01,1
User Interface and Functionality,positive,2022-02-17 04:00:42,2022-02-01,1
Privacy and Security,negative,2022-02-06 05:07:12,2022-02-01,1
Community and Content,positive,2022-02-05 12:29:20,2022-02-01,1
Community and Content,positive,2022-02-05 12:29:20,2022-02-01,1
User Interface and Functionality,positive,2022-02-05 12:29:20,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-09 20:17:16,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-09 20:17:16,2022-02-01,1
User Interface and Functionality,positive,2022-02-26 01:02:31,2022-02-01,1
User Interface and Functionality,positive,2022-02-26 01:02:31,2022-02-01,1
User Interface and Functionality,positive,2022-02-26 01:02:31,2022-02-01,1
User Interface and Functionality,negative,2022-02-12 01:22:28,2022-02-01,1
User Interface and Functionality,positive,2022-02-12 01:22:28,2022-02-01,1
Algorithm and Content Curation,positive,2022-02-12 01:22:28,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-01 14:36:48,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-01 14:36:48,2022-02-01,1
User Interface and Functionality,positive,2022-02-12 01:16:30,2022-02-01,1
User Interface and Functionality,positive,2022-02-12 01:16:30,2022-02-01,1
User Interface and Functionality,negative,2022-02-22 20:18:03,2022-02-01,1
Social Networking and Engagement,positive,2022-02-17 17:06:35,2022-02-01,1
User Interface and Functionality,positive,2022-02-17 17:06:35,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-04 07:12:03,2022-02-01,1
Customer Service,negative,2022-02-04 07:12:03,2022-02-01,1
Social Networking and Engagement,negative,2022-02-06 03:55:07,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-06 03:55:07,2022-02-01,1
Algorithm and Content Curation,negative,2022-02-10 18:24:24,2022-02-01,1
Algorithm and Content Curation,negative,2022-02-10 18:24:24,2022-02-01,1
Algorithm and Content Curation,negative,2022-02-10 18:24:24,2022-02-01,1
User Interface and Functionality,negative,2022-02-22 22:21:05,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-18 12:08:24,2022-02-01,1
Algorithm and Content Curation,negative,2022-02-18 12:08:24,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-10 02:16:18,2022-02-01,1
User Interface and Functionality,negative,2022-02-10 02:16:18,2022-02-01,1
Mental Health and User Impact,negative,2022-02-16 19:06:08,2022-02-01,1
Community and Content,negative,2022-02-16 19:06:08,2022-02-01,1
Mental Health and User Impact,negative,2022-02-16 19:06:08,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-09 12:00:18,2022-02-01,1
User Interface and Functionality,negative,2022-02-09 12:00:18,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-09 12:00:18,2022-02-01,1
User Interface and Functionality,positive,2022-02-20 11:25:51,2022-02-01,1
User Interface and Functionality,positive,2022-02-20 11:25:51,2022-02-01,1
Social Networking and Engagement,positive,2022-02-20 11:25:51,2022-02-01,1
Social Networking and Engagement,positive,2022-02-24 14:36:41,2022-02-01,1
Misinformation and Fake Accounts,negative,2022-02-24 14:36:41,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-24 14:36:41,2022-02-01,1
User Interface and Functionality,positive,2022-02-10 13:59:58,2022-02-01,1
User Interface and Functionality,positive,2022-02-23 13:21:00,2022-02-01,1
App Updates and Changes,negative,2022-02-17 15:51:37,2022-02-01,1
User Interface and Functionality,negative,2022-02-04 00:17:46,2022-02-01,1
Account Management,negative,2022-02-04 00:17:46,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-13 15:02:28,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-11 01:55:51,2022-02-01,1
Algorithm and Content Curation,negative,2022-02-20 17:41:59,2022-02-01,1
Advertising and Monetization,negative,2022-02-20 17:41:59,2022-02-01,1
Notifications and Alerts,negative,2022-02-20 17:41:59,2022-02-01,1
Algorithm and Content Curation,negative,2022-02-25 00:48:18,2022-02-01,1
Algorithm and Content Curation,negative,2022-02-25 00:48:18,2022-02-01,1
Social Networking and Engagement,positive,2022-02-21 15:54:11,2022-02-01,1
User Interface and Functionality,positive,2022-02-21 15:54:11,2022-02-01,1
User Interface and Functionality,negative,2022-02-27 20:56:45,2022-02-01,1
User Interface and Functionality,negative,2022-02-27 20:56:45,2022-02-01,1
Social Networking and Engagement,positive,2022-02-04 08:07:51,2022-02-01,1
User Interface and Functionality,neutral,2022-02-04 08:07:51,2022-02-01,1
Notifications and Alerts,negative,2022-02-28 18:52:23,2022-02-01,1
Notifications and Alerts,negative,2022-02-28 18:52:23,2022-02-01,1
User Interface and Functionality,negative,2022-02-28 18:52:23,2022-02-01,1
Account Management,negative,2022-02-27 13:45:49,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-08 04:33:28,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-08 04:33:28,2022-02-01,1
Notifications and Alerts,negative,2022-02-01 05:58:18,2022-02-01,1
Social Networking and Engagement,positive,2022-02-22 06:58:51,2022-02-01,1
Social Networking and Engagement,positive,2022-02-22 06:58:51,2022-02-01,1
User Interface and Functionality,negative,2022-02-15 22:09:35,2022-02-01,1
User Interface and Functionality,positive,2022-02-15 22:09:35,2022-02-01,1
User Interface and Functionality,negative,2022-02-01 17:14:21,2022-02-01,1
Algorithm and Content Curation,negative,2022-02-01 17:14:21,2022-02-01,1
User Interface and Functionality,negative,2022-02-19 00:04:39,2022-02-01,1
User Interface and Functionality,neutral,2022-02-23 02:00:07,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-27 16:32:20,2022-02-01,1
Platform Policies and Guidelines,neutral,2022-02-27 16:32:20,2022-02-01,1
Freedom of Speech and Expression,positive,2022-02-27 16:32:20,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-27 02:59:57,2022-02-01,1
Misinformation and Fake Accounts,negative,2022-02-27 02:59:57,2022-02-01,1
User Interface and Functionality,negative,2022-02-18 04:22:42,2022-02-01,1
User Interface and Functionality,positive,2022-02-06 21:17:25,2022-02-01,1
User Interface and Functionality,negative,2022-02-06 21:17:25,2022-02-01,1
Account Management,negative,2022-02-06 21:17:25,2022-02-01,1
User Interface and Functionality,positive,2022-02-15 07:16:58,2022-02-01,1
Mental Health and User Impact,negative,2022-02-15 07:16:58,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-07 10:42:48,2022-02-01,1
User Interface and Functionality,positive,2022-02-07 10:42:48,2022-02-01,1
User Interface and Functionality,positive,2022-02-06 16:59:31,2022-02-01,1
User Interface and Functionality,positive,2022-02-06 16:59:31,2022-02-01,1
User Interface and Functionality,positive,2022-02-06 16:59:31,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-16 01:05:00,2022-02-01,1
User Interface and Functionality,negative,2022-02-16 01:05:00,2022-02-01,1
User Interface and Functionality,negative,2022-02-16 01:05:00,2022-02-01,1
Social Networking and Engagement,positive,2022-02-16 20:29:50,2022-02-01,1
Account Management,positive,2022-02-07 14:06:55,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-26 09:27:05,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-26 09:27:05,2022-02-01,1
Algorithm and Content Curation,negative,2022-02-26 09:27:05,2022-02-01,1
User Interface and Functionality,negative,2022-02-15 17:46:06,2022-02-01,1
User Interface and Functionality,negative,2022-02-15 17:46:06,2022-02-01,1
User Interface and Functionality,positive,2022-02-04 09:01:33,2022-02-01,1
User Interface and Functionality,positive,2022-02-04 09:01:33,2022-02-01,1
User Interface and Functionality,positive,2022-02-04 09:01:33,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-23 12:29:30,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-22 05:07:52,2022-02-01,1
Platform Policies and Guidelines,negative,2022-02-22 05:07:52,2022-02-01,1
User Interface and Functionality,negative,2022-02-22 05:07:52,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-03 02:32:43,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-03 02:32:43,2022-02-01,1
Platform Policies and Guidelines,negative,2022-02-03 02:32:43,2022-02-01,1
User Interface and Functionality,negative,2022-02-05 21:09:21,2022-02-01,1
User Interface and Functionality,negative,2022-02-05 21:09:21,2022-02-01,1
Community and Content,neutral,2022-02-05 21:09:21,2022-02-01,1
User Interface and Functionality,negative,2022-02-22 12:12:05,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-22 12:12:05,2022-02-01,1
Content Moderation and Censorship,negative,2022-02-22 12:12:05,2022-02-01,1
Mental Health and User Impact,negative,2022-02-05 01:42:18,2022-02-01,1
Misinformation and Fake Accounts,negative,2022-02-05 01:42:18,2022-02-01,1
News and Information Sharing,positive,2022-02-05 01:42:18,2022-02-01,1
Content Moderation and Censorship,positive,2022-03-18 15:01:19,2022-03-01,1
Account Management,positive,2022-03-18 15:01:19,2022-03-01,1
Algorithm and Content Curation,negative,2022-03-10 21:30:25,2022-03-01,1
User Interface and Functionality,negative,2022-03-12 13:00:36,2022-03-01,1
News and Information Sharing,positive,2022-03-22 22:30:50,2022-03-01,1
User Interface and Functionality,positive,2022-03-22 22:30:50,2022-03-01,1
Algorithm and Content Curation,negative,2022-03-11 22:25:51,2022-03-01,1
User Interface and Functionality,negative,2022-03-11 22:25:51,2022-03-01,1
Advertising and Monetization,negative,2022-03-11 22:25:51,2022-03-01,1
Content Moderation and Censorship,negative,2022-03-04 22:18:34,2022-03-01,1
News and Information Sharing,positive,2022-03-05 05:51:29,2022-03-01,1
Freedom of Speech and Expression,positive,2022-03-05 05:51:29,2022-03-01,1
Algorithm and Content Curation,positive,2022-03-05 05:51:29,2022-03-01,1
User Interface and Functionality,negative,2022-03-01 17:29:57,2022-03-01,1
Notifications and Alerts,negative,2022-03-01 17:29:57,2022-03-01,1
User Interface and Functionality,negative,2022-03-07 05:47:23,2022-03-01,1
User Interface and Functionality,negative,2022-03-07 05:47:23,2022-03-01,1
Content Moderation and Censorship,negative,2022-03-07 05:47:23,2022-03-01,1
User Interface and Functionality,negative,2022-03-15 16:58:44,2022-03-01,1
User Interface and Functionality,negative,2022-03-15 16:58:44,2022-03-01,1
User Interface and Functionality,negative,2022-03-15 16:58:44,2022-03-01,1
User Interface and Functionality,negative,2022-03-14 13:25:13,2022-03-01,1
Notifications and Alerts,negative,2022-03-14 13:25:13,2022-03-01,1
Algorithm and Content Curation,negative,2022-03-14 13:25:13,2022-03-01,1
User Interface and Functionality,negative,2022-03-11 09:06:56,2022-03-01,1
User Interface and Functionality,negative,2022-03-11 09:06:56,2022-03-01,1
User Interface and Functionality,negative,2022-03-11 09:06:56,2022-03-01,1
Freedom of Speech and Expression,positive,2022-03-12 18:08:15,2022-03-01,1
Platform Policies and Guidelines,neutral,2022-03-12 18:08:15,2022-03-01,1
Algorithm and Content Curation,negative,2022-03-05 04:52:06,2022-03-01,1
Content Moderation and Censorship,negative,2022-03-05 04:52:06,2022-03-01,1
User Interface and Functionality,negative,2022-03-05 04:52:06,2022-03-01,1
Algorithm and Content Curation,negative,2022-03-10 19:25:47,2022-03-01,1
User Interface and Functionality,negative,2022-03-31 19:06:08,2022-03-01,1
Content Moderation and Censorship,negative,2022-03-31 19:06:08,2022-03-01,1
App Updates and Changes,negative,2022-03-14 13:28:27,2022-03-01,1
User Interface and Functionality,negative,2022-03-14 13:28:27,2022-03-01,1
User Interface and Functionality,negative,2022-03-12 14:01:12,2022-03-01,1
Content Moderation and Censorship,neutral,2022-03-18 14:51:14,2022-03-01,1
User Interface and Functionality,positive,2022-03-18 14:51:14,2022-03-01,1
Content Moderation and Censorship,positive,2022-03-09 03:43:38,2022-03-01,1
Social Networking and Engagement,positive,2022-03-09 03:43:38,2022-03-01,1
User Interface and Functionality,negative,2022-03-16 23:45:53,2022-03-01,1
User Interface and Functionality,negative,2022-03-16 23:45:53,2022-03-01,1
Algorithm and Content Curation,negative,2022-03-27 16:09:40,2022-03-01,1
Content Moderation and Censorship,negative,2022-03-27 16:09:40,2022-03-01,1
Content Moderation and Censorship,negative,2022-03-27 16:09:40,2022-03-01,1
Notifications and Alerts,negative,2022-03-02 04:39:38,2022-03-01,1
Algorithm and Content Curation,negative,2022-03-23 04:51:06,2022-03-01,1
Customer Service,negative,2022-03-23 04:51:06,2022-03-01,1
Content Moderation and Censorship,negative,2022-03-23 00:46:43,2022-03-01,1
Account Management,negative,2022-03-23 00:46:43,2022-03-01,1
Content Moderation and Censorship,negative,2022-03-23 00:46:43,2022-03-01,1
Content Moderation and Censorship,negative,2022-03-22 12:12:10,2022-03-01,1
User Interface and Functionality,negative,2022-03-11 03:21:04,2022-03-01,1
User Interface and Functionality,negative,2022-03-11 03:21:04,2022-03-01,1
Algorithm and Content Curation,negative,2022-03-11 03:21:04,2022-03-01,1
Content Moderation and Censorship,negative,2022-03-24 02:28:55,2022-03-01,1
Account Management,negative,2022-03-03 01:15:39,2022-03-01,1
Content Moderation and Censorship,negative,2022-03-03 01:15:39,2022-03-01,1
